# Photoionisation rates from Table D.4 in Padovani et al. (2024), https://arxiv.org/abs/2312.02062
species,para,ortho,o:p=3.1
Al,1.053000e+03,9.961000e+02,1.010325e+03
AlH,7.480000e+01,7.565000e+01,7.543750e+01
C,2.789000e+02,2.846000e+02,2.831750e+02
C2,2.720000e+02,2.565000e+02,2.603750e+02
C2H,5.336000e+02,5.148000e+02,5.195000e+02
C2H-,6.534000e+02,6.524000e+02,6.526500e+02
C2H2,4.535000e+02,4.392000e+02,4.427750e+02
C2H3,1.529000e+03,1.545000e+03,1.541000e+03
C2H4,3.175000e+02,3.117000e+02,3.131500e+02
C2H5,2.706000e+02,2.734000e+02,2.727000e+02
C2H5OH,4.336000e+02,4.184000e+02,4.222000e+02
C2H6,2.249000e+02,2.094000e+02,2.132750e+02
C3,1.154000e+02,1.120000e+02,1.128500e+02
C3H3,1.150000e+03,1.166000e+03,1.162000e+03
C3H7OH,6.789000e+02,6.568000e+02,6.623250e+02
C4H-,5.382000e+02,5.375000e+02,5.376750e+02
C6H-,3.265000e+02,3.261000e+02,3.262000e+02
CH,1.929000e+02,1.934000e+02,1.932750e+02
CH+,0.000000e+00,0.000000e+00,0.000000e+00
CH2,0.000000e+00,0.000000e+00,0.000000e+00
CH2+,0.000000e+00,0.000000e+00,0.000000e+00
CH3,2.770000e+02,2.799000e+02,2.791750e+02
CH3CHO,6.923000e+02,7.081000e+02,7.041500e+02
CH3CN,1.194000e+02,1.099000e+02,1.122750e+02
CH3NH2,1.322000e+03,1.326000e+03,1.325000e+03
CH3OCH3,9.970000e+02,9.954000e+02,9.958000e+02
CH3OCHO,2.619000e+02,2.550000e+02,2.567250e+02
CH3OH,2.779000e+02,2.717000e+02,2.732500e+02
CH3SH,1.534000e+03,1.563000e+03,1.555750e+03
CH4,2.804000e+01,2.484000e+01,2.564000e+01
CH4+,0.000000e+00,0.000000e+00,0.000000e+00
CN,8.578000e+00,6.512000e+00,7.028500e+00
CO,1.675000e+01,1.199000e+01,1.318000e+01
CO+,0.000000e+00,0.000000e+00,0.000000e+00
CO2,1.341000e+01,1.124000e+01,1.178250e+01
CS,8.054000e+01,8.263000e+01,8.210750e+01
CS2,3.258000e+02,3.273000e+02,3.269250e+02
Ca,1.169000e+02,1.163000e+02,1.164500e+02
Ca+,1.948000e+00,1.810000e+00,1.844500e+00
Cl,6.726000e+01,6.737000e+01,6.734250e+01
Cr,5.332000e+02,5.394000e+02,5.378500e+02
Fe,2.268000e+02,2.299000e+02,2.291250e+02
H,4.804000e+00,4.292000e+00,4.420000e+00
H-,9.110000e+02,9.122000e+02,9.119000e+02
H2,0.000000e+00,0.000000e+00,0.000000e+00
H2+,0.000000e+00,0.000000e+00,0.000000e+00
H2CO,3.214000e+02,3.195000e+02,3.199750e+02
H2CS,1.220000e+03,1.218000e+03,1.218500e+03
H2O,2.840000e+01,2.637000e+01,2.687750e+01
H2O2,2.189000e+02,2.107000e+02,2.127500e+02
H2S,6.771000e+02,6.738000e+02,6.746250e+02
H3+,0.000000e+00,0.000000e+00,0.000000e+00
HC3H,1.453000e+03,1.471000e+03,1.466500e+03
HC3N,2.071000e+02,1.934000e+02,1.968250e+02
HCN,1.641000e+01,1.337000e+01,1.413000e+01
HCO,6.736000e+02,6.807000e+02,6.789250e+02
HCO+,0.000000e+00,0.000000e+00,0.000000e+00
HCOOH,2.469000e+02,2.394000e+02,2.412750e+02
HCl,5.844000e+01,5.239000e+01,5.390250e+01
HCl+,0.000000e+00,0.000000e+00,0.000000e+00
HF,1.108000e-02,1.007000e-02,1.032250e-02
HNC,1.856000e+02,1.686000e+02,1.728500e+02
HNCO,9.352000e+01,8.823000e+01,8.955250e+01
HO2,6.813000e+01,6.643000e+01,6.685500e+01
K,1.741000e+01,1.740000e+01,1.740250e+01
Li,1.202000e+02,1.199000e+02,1.199750e+02
LiH,0.000000e+00,0.000000e+00,0.000000e+00
Mg,5.105000e+01,5.035000e+01,5.052500e+01
MgH,0.000000e+00,0.000000e+00,0.000000e+00
Mn,1.499000e+01,1.509000e+01,1.506500e+01
N,1.113000e+00,9.547000e-01,9.942750e-01
N2,1.899000e-01,1.426000e-01,1.544250e-01
N2O,1.385000e+02,1.373000e+02,1.376000e+02
NH,9.390000e+00,8.174000e+00,8.478000e+00
NH+,0.000000e+00,0.000000e+00,0.000000e+00
NH2,7.638000e+01,7.490000e+01,7.527000e+01
NH2CHO,4.418000e+02,4.357000e+02,4.372250e+02
NH3,2.194000e+02,2.205000e+02,2.202250e+02
NO,2.098000e+02,2.099000e+02,2.098750e+02
NO2,1.238000e+02,1.212000e+02,1.218500e+02
Na,7.395000e+00,7.411000e+00,7.407000e+00
NaCl,0.000000e+00,0.000000e+00,0.000000e+00
NaH,0.000000e+00,0.000000e+00,0.000000e+00
Ni,5.050000e+01,5.152000e+01,5.126500e+01
O,3.139000e+00,2.786000e+00,2.874250e+00
O2,4.130000e+01,3.332000e+01,3.531500e+01
O2+,0.000000e+00,0.000000e+00,0.000000e+00
O3,4.109000e+01,3.807000e+01,3.882500e+01
OCS,6.375000e+02,6.117000e+02,6.181500e+02
OH,2.053000e+01,1.967000e+01,1.988500e+01
OH+,0.000000e+00,0.000000e+00,0.000000e+00
P,1.538000e+03,1.570000e+03,1.562000e+03
PH,0.000000e+00,0.000000e+00,0.000000e+00
PH+,0.000000e+00,0.000000e+00,0.000000e+00
Rb,1.186000e+01,1.193000e+01,1.191250e+01
S,9.387000e+02,8.552000e+02,8.760750e+02
S2,1.883000e+03,1.919000e+03,1.910000e+03
SH,1.060000e+03,1.075000e+03,1.071250e+03
SH+,0.000000e+00,0.000000e+00,0.000000e+00
SO,4.658000e+02,4.975000e+02,4.895750e+02
SO2,1.306000e+02,1.205000e+02,1.230250e+02
Si,2.231000e+03,2.200000e+03,2.207750e+03
SiH,3.564000e+03,3.572000e+03,3.570000e+03
SiH+,0.000000e+00,0.000000e+00,0.000000e+00
SiO,0.000000e+00,0.000000e+00,0.000000e+00
Ti,1.461000e+02,1.476000e+02,1.472250e+02
Zn,5.035000e+02,3.639000e+02,3.988000e+02
c-C3H,1.109000e+03,1.120000e+03,1.117250e+03
c-C3H2,1.384000e+03,1.403000e+03,1.398250e+03
l-C3H,1.136000e+03,1.149000e+03,1.145750e+03
l-C3H2,0.000000e+00,0.000000e+00,0.000000e+00
l-C4,0.000000e+00,0.000000e+00,0.000000e+00
l-C4H,0.000000e+00,0.000000e+00,0.000000e+00
l-C5H,0.000000e+00,0.000000e+00,0.000000e+00
